Employee_ID;First_Name;Last_Name;Age;Department;Region;Status;Join_Date;Salary;Email;Phone;Performance_Score;Remote_Work
EMP1023;David;Garcia;35;Finance;Nevada;Pending;03/02/2022;80667.01;david.garcia@example.com;(757) 215-8623;4;0
EMP1024;Bob;Brown;30;Admin;Texas;Inactive;13/02/2020;91181.61;bob.brown@example.com;(150) 274-5643;3;1
EMP1025;David;Miller;25;Cloud Tech;Nevada;Pending;30/04/2020;66025.92;david.miller@example.com;(948) 562-5727;2;0
EMP1026;Frank;Miller;25;Sales;New York;Inactive;02/10/2023;83979.01;frank.miller@example.com;(703) 203-2073;2;0
EMP1027;Heidi;Johnson;30;Finance;Florida;Active;12/07/2020;56785.16;heidi.johnson@example.com;(276) 170-7586;4;1
EMP1028;Grace;Garcia;40;Finance;Nevada;Active;11/10/2023;95741.88;grace.garcia@example.com;(771) 215-1341;4;0
EMP1029;Alice;Brown;40;DevOps;California;Active;24/05/2021;63411.31;alice.brown@example.com;(284) 993-9088;4;1
EMP1030;Charlie;Jones;40;Admin;California;Inactive;26/05/2021;111214.02;charlie.jones@example.com;(261) 371-5040;3;1
EMP1031;Bob;Smith;25;DevOps;Illinois;Active;10/07/2020;114845.69;bob.smith@example.com;(659) 152-0176;4;1
EMP1032;Charlie;Brown;40;Finance;Florida;Active;05/11/2024;78072.82;charlie.brown@example.com;(749) 050-9758;2;0
EMP1033;Grace;Johnson;25;Finance;California;Inactive;07/08/2021;79610.52;grace.johnson@example.com;(230) 450-1895;2;0
EMP1034;Heidi;Miller;30;Admin;California;Active;29/04/2020;90542.62;heidi.miller@example.com;(164) 236-1031;4;1
EMP1035;Frank;Jones;25;Cloud Tech;Illinois;Inactive;26/10/2022;114357.1;frank.jones@example.com;(664) 214-7648;4;1
EMP1036;Alice;Brown;30;Cloud Tech;New York;Active;03/05/2023;54757.26;alice.brown@example.com;(251) 583-7766;1;0
EMP1037;Grace;Smith;25;Sales;New York;Pending;02/05/2023;52781.92;grace.smith@example.com;(499) 616-5925;2;1
EMP1038;Frank;Smith;35;Admin;Nevada;Pending;05/10/2021;66708.02;frank.smith@example.com;(610) 857-3277;3;1
EMP1039;Eva;Williams;40;HR;Texas;Active;27/07/2022;93481.15;eva.williams@example.com;(814) 761-7421;1;0
EMP1040;Bob;Williams;25;Sales;New York;Pending;27/06/2021;59271.96;bob.williams@example.com;(438) 649-0809;4;1
EMP1041;Bob;Davis;30;HR;California;Active;16/06/2022;108362.15;bob.davis@example.com;(818) 661-7944;4;0
EMP1042;Alice;Johnson;30;HR;Nevada;Active;03/12/2024;59400.38;alice.johnson@example.com;(491) 801-7225;2;1
EMP1043;Bob;Garcia;30;Admin;California;Inactive;23/05/2023;64744.08;bob.garcia@example.com;(16) 459-7793;4;0
EMP1044;Eva;Brown;30;Finance;California;Active;08/07/2020;94399.91;eva.brown@example.com;(523) 219-4167;3;1
EMP1045;Alice;Brown;25;HR;New York;Pending;20/06/2021;61310.74;alice.brown@example.com;(6) 102-7768;2;1
EMP1046;Grace;Garcia;30;Cloud Tech;Texas;Active;13/12/2024;98371.37;grace.garcia@example.com;(749) 956-4121;4;0
EMP1047;Alice;Davis;35;Sales;Illinois;Active;30/05/2022;58921.19;alice.davis@example.com;(31) 030-3722;2;1
EMP1048;Alice;Miller;35;Admin;Nevada;Active;27/09/2023;57195.55;alice.miller@example.com;(683) 147-2759;4;0
EMP1049;Grace;Miller;30;DevOps;New York;Active;05/11/2024;61375.12;grace.miller@example.com;(122) 777-0792;4;1
EMP1050;Charlie;Davis;40;Cloud Tech;New York;Pending;11/11/2021;104767.05;charlie.davis@example.com;(349) 605-0165;4;0
EMP1051;David;Miller;35;Admin;Nevada;Active;22/02/2022;111051.67;david.miller@example.com;(799) 840-7677;3;0
EMP1052;David;Williams;30;Finance;California;Inactive;07/08/2024;105674.18;david.williams@example.com;(997) 308-0694;3;0
EMP1053;Alice;Brown;30;Finance;California;Inactive;05/11/2024;54859.45;alice.brown@example.com;(814) 671-7956;2;0
EMP1054;Frank;Davis;30;Finance;Nevada;Pending;09/11/2021;115746.6;frank.davis@example.com;(602) 437-5737;4;1
EMP1055;Eva;Brown;30;Sales;California;Active;10/08/2020;91759.99;eva.brown@example.com;(395) 972-4664;4;1
EMP1056;Frank;Garcia;40;Sales;Illinois;Active;27/02/2022;112965.33;frank.garcia@example.com;(729) 341-7222;3;0
EMP1057;Alice;Smith;40;Cloud Tech;Illinois;Pending;07/11/2023;100360.1;alice.smith@example.com;(297) 167-4337;4;0
EMP1058;David;Williams;35;Finance;Texas;Pending;07/11/2021;93620.88;david.williams@example.com;(5) 452-2800;3;0
EMP1059;Bob;Jones;35;Sales;California;Pending;16/04/2022;72832.8;bob.jones@example.com;(561) 931-8373;4;1
EMP1060;Charlie;Williams;30;Finance;Nevada;Inactive;19/10/2023;102369.42;charlie.williams@example.com;(550) 842-8909;2;1
EMP1061;Eva;Davis;40;Sales;Texas;Inactive;10/08/2021;64712.79;eva.davis@example.com;(771) 199-1807;4;1
EMP1062;Frank;Jones;40;Finance;Florida;Pending;13/03/2021;85782.18;frank.jones@example.com;(121) 352-4786;4;1
EMP1063;Charlie;Smith;25;HR;Illinois;Pending;20/07/2023;93348.26;charlie.smith@example.com;(125) 521-3759;1;0
EMP1064;David;Davis;35;Admin;New York;Active;20/02/2020;53234.96;david.davis@example.com;(375) 482-1455;3;0
EMP1065;Bob;Johnson;40;Finance;Nevada;Pending;02/02/2021;100284.21;bob.johnson@example.com;(532) 863-2665;4;0
EMP1066;Grace;Brown;30;Admin;Nevada;Pending;12/01/2020;112486.19;grace.brown@example.com;(785) 072-0810;4;1
EMP1067;Bob;Smith;40;Admin;New York;Pending;26/11/2022;82518.49;bob.smith@example.com;(556) 260-6028;1;1
EMP1068;Bob;Brown;40;Admin;Florida;Pending;23/12/2022;119152.47;bob.brown@example.com;(84) 668-4549;1;1
EMP1069;Heidi;Miller;30;DevOps;Illinois;Inactive;28/08/2024;113479.83;heidi.miller@example.com;(489) 267-3898;3;0
EMP1070;Charlie;Johnson;40;Finance;California;Active;16/09/2024;94636.3;charlie.johnson@example.com;(756) 341-0855;1;0
EMP1071;Heidi;Johnson;30;HR;Florida;Active;01/01/2024;70000.97;heidi.johnson@example.com;(288) 431-8847;2;1
EMP1072;Frank;Smith;30;Cloud Tech;New York;Active;18/04/2021;76812.47;frank.smith@example.com;(520) 089-4345;1;0
EMP1073;David;Johnson;25;Finance;Florida;Inactive;16/01/2023;82614.7;david.johnson@example.com;(810) 548-5100;2;1
EMP1074;Grace;Jones;40;Sales;Nevada;Active;20/10/2024;111645.97;grace.jones@example.com;(749) 075-3997;3;1
EMP1075;Heidi;Johnson;25;HR;California;Inactive;13/10/2024;112414.91;heidi.johnson@example.com;(935) 449-2682;3;0
EMP1076;David;Brown;40;Admin;California;Inactive;21/09/2022;52031.74;david.brown@example.com;(158) 935-7125;3;1
EMP1077;Grace;Brown;30;Finance;New York;Pending;29/12/2022;51887.65;grace.brown@example.com;(611) 062-7370;3;0
EMP1078;Alice;Davis;25;DevOps;Florida;Active;10/11/2024;82318.89;alice.davis@example.com;(586) 988-6496;3;1
EMP1079;Grace;Brown;35;Admin;Florida;Inactive;22/11/2021;103286.08;grace.brown@example.com;(677) 622-8276;2;0
EMP1080;Grace;Davis;35;Cloud Tech;Florida;Active;14/03/2024;87759.33;grace.davis@example.com;(288) 137-7027;2;0
EMP1081;Frank;Brown;30;DevOps;Texas;Pending;23/03/2020;102796.32;frank.brown@example.com;(519) 611-5939;3;0
EMP1082;David;Jones;25;Sales;New York;Active;15/09/2020;83149.27;david.jones@example.com;(821) 545-4469;1;1
EMP1083;David;Garcia;40;DevOps;California;Inactive;09/12/2020;92412.49;david.garcia@example.com;(229) 604-4326;4;1
EMP1084;Bob;Davis;30;HR;Texas;Pending;22/02/2020;115022.1;bob.davis@example.com;(18) 510-6793;3;0
EMP1085;Grace;Williams;40;DevOps;New York;Active;27/04/2023;98343.01;grace.williams@example.com;(975) 679-2286;1;0
EMP1086;Bob;Miller;35;DevOps;Illinois;Active;18/06/2024;118869.1;bob.miller@example.com;(772) 519-9662;4;1
EMP1087;Frank;Smith;30;Finance;Nevada;Inactive;21/05/2020;85417.26;frank.smith@example.com;(658) 074-1208;3;1
EMP1088;Grace;Brown;40;Cloud Tech;Florida;Inactive;25/07/2023;112410.25;grace.brown@example.com;(481) 813-9889;3;1
EMP1089;Charlie;Johnson;40;Admin;Nevada;Pending;25/08/2023;68905.77;charlie.johnson@example.com;(983) 780-1819;2;0
EMP1090;Heidi;Garcia;40;Finance;Nevada;Pending;03/07/2021;72561.32;heidi.garcia@example.com;(433) 971-8955;4;1
EMP1091;Bob;Brown;35;Finance;New York;Inactive;13/03/2023;92723.22;bob.brown@example.com;(907) 056-2607;4;1
EMP1092;Alice;Johnson;40;HR;New York;Inactive;10/03/2021;74837.75;alice.johnson@example.com;(564) 111-8241;1;0
EMP1093;Eva;Miller;30;DevOps;California;Pending;21/01/2020;86163.91;eva.miller@example.com;(241) 246-2094;2;1
EMP1094;David;Miller;40;Finance;Illinois;Active;15/11/2023;83326.52;david.miller@example.com;(200) 461-5264;2;1
EMP1095;Heidi;Miller;25;Cloud Tech;California;Active;08/04/2022;98425.1;heidi.miller@example.com;(461) 033-9936;2;1
EMP1096;Frank;Johnson;40;Sales;Illinois;Inactive;21/05/2022;119764.2;frank.johnson@example.com;(886) 140-5785;2;0
EMP1097;Frank;Brown;40;HR;California;Inactive;17/04/2021;58445.91;frank.brown@example.com;(170) 630-4890;4;0
EMP1098;Bob;Miller;30;DevOps;New York;Active;19/03/2021;101702.33;bob.miller@example.com;(382) 496-7182;4;0
EMP1099;Eva;Jones;25;Admin;California;Active;09/01/2022;80389.13;eva.jones@example.com;(258) 238-6869;3;0
EMP1100;Charlie;Davis;35;Cloud Tech;Texas;Pending;21/08/2021;98819.22;charlie.davis@example.com;(79) 420-0748;3;0
EMP1101;Heidi;Johnson;25;Cloud Tech;Illinois;Inactive;19/08/2022;83509.99;heidi.johnson@example.com;(465) 398-4027;2;0
EMP1102;Alice;Johnson;35;Finance;Texas;Active;31/03/2022;84422.26;alice.johnson@example.com;(914) 161-2845;2;0
EMP1103;Alice;Brown;30;Admin;Illinois;Inactive;23/06/2020;119574.27;alice.brown@example.com;(398) 554-7434;2;1
EMP1104;Grace;Johnson;30;Sales;Illinois;Active;07/05/2024;86580.08;grace.johnson@example.com;(537) 950-2096;3;1
EMP1105;Heidi;Johnson;35;Sales;Florida;Inactive;10/03/2023;93471.91;heidi.johnson@example.com;(2) 687-6810;1;0
EMP1106;Bob;Miller;30;DevOps;New York;Inactive;14/09/2023;55683.12;bob.miller@example.com;(807) 156-9561;1;1
EMP1107;Bob;Brown;30;Cloud Tech;Florida;Inactive;12/11/2023;91566.78;bob.brown@example.com;(17) 537-0303;3;1
EMP1108;David;Miller;35;DevOps;California;Pending;26/10/2024;81782.19;david.miller@example.com;(531) 943-3749;3;0
EMP1109;Eva;Davis;30;DevOps;New York;Inactive;23/08/2020;88119.37;eva.davis@example.com;(479) 303-6148;3;1
EMP1110;Eva;Garcia;30;Cloud Tech;Texas;Active;11/06/2024;71532.83;eva.garcia@example.com;(872) 839-9920;3;1
EMP1111;Eva;Davis;40;Cloud Tech;Florida;Pending;14/09/2021;98981.36;eva.davis@example.com;(921) 249-3842;3;1
EMP1112;Heidi;Garcia;40;Cloud Tech;Illinois;Active;26/12/2024;80242.01;heidi.garcia@example.com;(89) 487-0604;3;1
EMP1113;Eva;Miller;25;Cloud Tech;New York;Pending;08/09/2024;110236.18;eva.miller@example.com;(664) 187-7579;2;1
EMP1114;Alice;Davis;35;Sales;Texas;Active;21/08/2022;86327.47;alice.davis@example.com;(304) 687-5062;2;0
EMP1115;Eva;Brown;30;Sales;Florida;Pending;25/07/2024;84420.81;eva.brown@example.com;(519) 036-1331;2;0
EMP1116;Frank;Smith;40;HR;California;Pending;02/08/2020;110041.32;frank.smith@example.com;(541) 107-6094;2;0
EMP1117;Heidi;Miller;35;DevOps;Florida;Pending;16/03/2020;81837.81;heidi.miller@example.com;(431) 735-0582;3;1
EMP1118;Frank;Garcia;25;Finance;Illinois;Active;08/09/2023;110855.72;frank.garcia@example.com;(199) 717-9109;1;0
EMP1119;Alice;Jones;30;Sales;California;Pending;29/03/2024;84894.52;alice.jones@example.com;(65) 120-7048;4;1
EMP1120;Alice;Garcia;30;HR;Illinois;Active;12/08/2021;80668.13;alice.garcia@example.com;(611) 080-4660;3;1
EMP1121;Bob;Jones;25;DevOps;Illinois;Active;24/12/2023;61086.47;bob.jones@example.com;(963) 990-7675;4;1
EMP1122;Grace;Johnson;25;Admin;Texas;Inactive;28/08/2020;95339.68;grace.johnson@example.com;(991) 507-8592;1;1
EMP1123;Eva;Davis;30;DevOps;California;Inactive;05/09/2024;83774.97;eva.davis@example.com;(110) 919-3927;2;0
EMP1124;Heidi;Jones;30;Admin;Florida;Active;12/05/2023;85576.86;heidi.jones@example.com;(456) 797-2319;1;0
EMP1125;Bob;Garcia;35;Finance;California;Pending;01/07/2021;107438.46;bob.garcia@example.com;(24) 968-5497;3;1
EMP1126;Eva;Johnson;30;Sales;Nevada;Inactive;07/11/2024;60401.68;eva.johnson@example.com;(227) 495-4507;2;0
EMP1127;Frank;Smith;35;Sales;Illinois;Inactive;21/07/2022;115299.66;frank.smith@example.com;(920) 388-0652;3;1
EMP1128;David;Brown;30;Finance;New York;Inactive;30/03/2020;72272.34;david.brown@example.com;(331) 537-7958;2;0
EMP1129;Grace;Brown;40;DevOps;Nevada;Active;11/10/2022;117537.71;grace.brown@example.com;(959) 465-2169;4;0
EMP1130;Frank;Brown;25;Finance;Texas;Pending;24/07/2022;51074.33;frank.brown@example.com;(730) 337-9336;4;1
EMP1131;Charlie;Jones;25;Finance;California;Inactive;30/06/2023;98489.32;charlie.jones@example.com;(563) 620-5014;4;0
EMP1132;Frank;Smith;30;Finance;California;Pending;11/01/2024;112120.71;frank.smith@example.com;(81) 247-3949;1;1
EMP1133;Alice;Jones;30;Cloud Tech;New York;Pending;02/11/2023;114465.04;alice.jones@example.com;(33) 423-4257;3;0
EMP1134;Bob;Davis;40;Cloud Tech;Nevada;Pending;22/11/2024;57035.51;bob.davis@example.com;(323) 024-1025;1;1
EMP1135;Eva;Jones;25;Cloud Tech;California;Active;23/08/2021;75092.43;eva.jones@example.com;(153) 473-5527;4;1
EMP1136;David;Smith;30;Finance;Illinois;Pending;11/06/2024;62603.98;david.smith@example.com;(961) 122-3385;3;0
EMP1137;Grace;Smith;30;DevOps;New York;Inactive;09/04/2023;60018.24;grace.smith@example.com;(559) 630-9937;4;0
EMP1138;Eva;Davis;40;HR;Nevada;Active;05/07/2024;82567.73;eva.davis@example.com;(425) 304-2896;1;1
EMP1139;Charlie;Smith;25;Finance;California;Pending;04/09/2021;94725.71;charlie.smith@example.com;(317) 912-8684;1;0
EMP1140;Eva;Garcia;40;HR;New York;Inactive;13/10/2024;83824.56;eva.garcia@example.com;(787) 255-8776;1;0
EMP1141;Frank;Smith;30;HR;Nevada;Inactive;14/02/2020;118456.11;frank.smith@example.com;(496) 903-3372;4;1
EMP1142;Eva;Brown;25;Sales;Nevada;Pending;10/04/2020;113743.19;eva.brown@example.com;(634) 669-2547;3;1
EMP1143;Eva;Garcia;30;Sales;California;Active;27/07/2023;63309.24;eva.garcia@example.com;(121) 478-5389;3;0
EMP1144;Charlie;Garcia;25;DevOps;Nevada;Active;24/09/2021;105202.73;charlie.garcia@example.com;(789) 567-7664;4;1
EMP1145;Frank;Davis;30;Cloud Tech;California;Inactive;10/03/2024;79085.22;frank.davis@example.com;(754) 602-7340;3;1
EMP1146;Frank;Williams;30;Sales;California;Active;10/06/2021;113983.43;frank.williams@example.com;(514) 888-1430;4;1
EMP1147;Eva;Williams;35;Cloud Tech;Florida;Active;15/10/2020;102790.6;eva.williams@example.com;(115) 083-5353;3;0
EMP1148;Grace;Smith;30;HR;Texas;Inactive;29/01/2020;68512.1;grace.smith@example.com;(443) 928-4043;2;0
EMP1149;Frank;Garcia;35;Sales;Florida;Pending;30/01/2022;57584.23;frank.garcia@example.com;(566) 907-8262;2;1
EMP1150;Alice;Williams;30;Sales;California;Pending;29/03/2021;95335.67;alice.williams@example.com;(337) 389-8774;1;0
EMP1151;Heidi;Williams;35;DevOps;Florida;Active;13/10/2020;53174.28;heidi.williams@example.com;(153) 663-7779;2;1
EMP1152;Heidi;Smith;25;Cloud Tech;New York;Pending;04/10/2020;77205.21;heidi.smith@example.com;(529) 240-7552;2;0
EMP1153;Grace;Williams;30;DevOps;Nevada;Active;18/12/2024;79041.92;grace.williams@example.com;(666) 845-9089;2;1
EMP1154;Heidi;Jones;30;Finance;California;Active;14/11/2023;75937.1;heidi.jones@example.com;(225) 999-9662;4;1
EMP1155;David;Johnson;35;Cloud Tech;Nevada;Inactive;20/01/2023;113118.73;david.johnson@example.com;(618) 637-1596;2;0
EMP1156;Alice;Davis;40;HR;New York;Active;02/10/2024;107693.38;alice.davis@example.com;(412) 182-0969;2;1
EMP1157;David;Johnson;30;Cloud Tech;Texas;Inactive;13/05/2021;119217.46;david.johnson@example.com;(231) 643-3480;1;0
EMP1158;David;Smith;25;Sales;New York;Pending;18/03/2021;106913.71;david.smith@example.com;(705) 802-5661;2;0
EMP1159;Charlie;Brown;30;Cloud Tech;California;Active;23/09/2020;87815.08;charlie.brown@example.com;(128) 671-6322;2;1
EMP1160;Bob;Davis;25;Admin;Texas;Inactive;05/06/2024;105190.21;bob.davis@example.com;(467) 299-4937;3;1
EMP1161;Alice;Smith;30;HR;Texas;Active;28/02/2024;79467.24;alice.smith@example.com;(743) 027-1692;1;0
EMP1162;Bob;Garcia;40;Finance;California;Pending;30/04/2023;57633.78;bob.garcia@example.com;(859) 777-9013;1;1
EMP1163;Alice;Brown;30;HR;Florida;Pending;04/03/2020;54257.78;alice.brown@example.com;(754) 692-6328;1;1
EMP1164;Grace;Johnson;40;DevOps;Texas;Inactive;29/12/2023;113679.06;grace.johnson@example.com;(676) 291-6031;1;1
EMP1165;Bob;Smith;35;Sales;New York;Active;15/09/2020;69251.12;bob.smith@example.com;(484) 137-6814;1;1
EMP1166;Frank;Garcia;40;Sales;Illinois;Inactive;18/07/2022;85388.58;frank.garcia@example.com;(118) 567-2437;1;1
EMP1167;Bob;Davis;30;DevOps;New York;Inactive;13/07/2022;112166.37;bob.davis@example.com;(70) 176-5635;4;0
EMP1168;Heidi;Davis;40;Finance;Nevada;Active;02/10/2021;79873.48;heidi.davis@example.com;(4) 125-7770;2;0
EMP1169;Frank;Miller;30;DevOps;Florida;Active;05/07/2020;108224.03;frank.miller@example.com;(183) 727-4219;1;1
EMP1170;Bob;Garcia;35;Admin;Illinois;Active;16/04/2023;116963.72;bob.garcia@example.com;(912) 418-6209;2;1
EMP1171;Bob;Jones;40;HR;Nevada;Inactive;12/11/2024;114109.06;bob.jones@example.com;(427) 523-0836;2;1
EMP1172;Eva;Williams;30;HR;California;Active;29/03/2023;85518.88;eva.williams@example.com;(81) 647-0899;4;0
EMP1173;Heidi;Brown;30;Cloud Tech;California;Pending;22/01/2022;58041.97;heidi.brown@example.com;(633) 533-1059;1;1
EMP1174;David;Garcia;40;Sales;Illinois;Pending;14/10/2023;94988.94;david.garcia@example.com;(53) 131-2205;3;0
EMP1175;Eva;Miller;25;Admin;California;Pending;10/04/2024;71628.93;eva.miller@example.com;(815) 583-9385;4;0
EMP1176;Alice;Williams;30;Admin;Illinois;Pending;31/03/2022;54870.98;alice.williams@example.com;(613) 315-5205;3;0
EMP1177;Alice;Williams;25;DevOps;Illinois;Active;09/02/2022;79388.27;alice.williams@example.com;(506) 373-1494;2;1
EMP1178;Frank;Smith;35;DevOps;California;Pending;06/05/2023;55946.99;frank.smith@example.com;(13) 649-7188;2;0
EMP1179;Charlie;Williams;30;Cloud Tech;Nevada;Active;11/07/2021;81017.91;charlie.williams@example.com;(241) 956-2524;4;1
EMP1180;Heidi;Jones;40;HR;New York;Pending;21/08/2020;74162.1;heidi.jones@example.com;(715) 099-7682;4;0
EMP1181;Heidi;Davis;30;DevOps;California;Active;27/03/2021;77668.44;heidi.davis@example.com;(890) 309-1435;3;1
EMP1182;Alice;Miller;30;HR;New York;Active;14/04/2024;67886.37;alice.miller@example.com;(391) 025-7431;1;0
EMP1183;Alice;Williams;40;DevOps;Florida;Active;21/09/2020;76614.52;alice.williams@example.com;(630) 397-5244;3;1
EMP1184;Frank;Smith;25;Finance;Nevada;Active;12/06/2022;51311.91;frank.smith@example.com;(86) 403-5532;4;0
EMP1185;Frank;Jones;30;Finance;Illinois;Inactive;24/12/2023;94809.92;frank.jones@example.com;(803) 396-8526;3;1
EMP1186;Grace;Johnson;25;HR;New York;Pending;31/07/2022;108241.81;grace.johnson@example.com;(17) 130-2320;4;1
EMP1187;Bob;Davis;40;Cloud Tech;New York;Inactive;21/04/2023;78031.49;bob.davis@example.com;(298) 338-1673;3;1
EMP1188;Eva;Davis;35;Admin;California;Active;05/06/2020;85733.83;eva.davis@example.com;(233) 629-3448;4;1
EMP1189;David;Miller;35;HR;Nevada;Pending;27/07/2024;60338.29;david.miller@example.com;(734) 715-6626;4;0
EMP1190;Eva;Davis;30;Admin;Illinois;Active;05/04/2024;103140.67;eva.davis@example.com;(768) 962-7065;4;0
EMP1191;Heidi;Williams;40;Sales;Illinois;Inactive;26/10/2023;114690.8;heidi.williams@example.com;(149) 828-2466;1;1
EMP1192;Frank;Smith;35;Admin;Florida;Active;18/08/2022;80954.56;frank.smith@example.com;(474) 689-7151;3;0
EMP1193;Eva;Davis;30;Cloud Tech;California;Pending;31/05/2020;71728.55;eva.davis@example.com;(732) 300-8575;3;1
EMP1194;Alice;Davis;35;HR;Texas;Pending;04/11/2024;118415.8;alice.davis@example.com;(665) 674-9159;3;1
EMP1195;Grace;Johnson;40;Sales;Illinois;Pending;25/03/2020;81481.36;grace.johnson@example.com;(169) 236-4586;4;0
EMP1196;David;Johnson;35;Sales;Florida;Pending;04/11/2020;117040.57;david.johnson@example.com;(506) 633-7049;3;1
EMP1197;Frank;Brown;25;Sales;Nevada;Active;21/03/2020;67342.06;frank.brown@example.com;(249) 724-3991;3;1
EMP1198;Heidi;Jones;30;Sales;Illinois;Active;15/01/2022;76099.64;heidi.jones@example.com;(11) 669-1835;4;0
EMP1199;Grace;Williams;35;DevOps;Illinois;Active;04/06/2024;94162.06;grace.williams@example.com;(264) 488-6945;2;1
EMP1200;Frank;Davis;25;Sales;Nevada;Inactive;04/08/2021;67639.7;frank.davis@example.com;(119) 524-3639;4;1
EMP1201;Charlie;Garcia;35;Cloud Tech;Illinois;Pending;16/10/2020;114172.25;charlie.garcia@example.com;(270) 116-8645;3;1
EMP1202;Grace;Davis;30;Sales;Nevada;Active;26/09/2021;89124.54;grace.davis@example.com;(225) 223-7280;4;1
EMP1203;Frank;Smith;30;DevOps;Nevada;Pending;04/11/2023;113871.36;frank.smith@example.com;(793) 230-2345;2;0
EMP1204;Grace;Brown;30;HR;Texas;Inactive;24/09/2021;62618.4;grace.brown@example.com;(791) 214-1613;4;0
EMP1205;Heidi;Jones;30;Admin;New York;Active;07/06/2020;70705.45;heidi.jones@example.com;(150) 937-7099;3;0
EMP1206;Alice;Garcia;35;Sales;New York;Pending;10/02/2022;60797.69;alice.garcia@example.com;(409) 013-8068;2;1
EMP1207;Charlie;Brown;40;Cloud Tech;Florida;Inactive;17/10/2023;100371;charlie.brown@example.com;(847) 759-6554;1;1
EMP1208;Eva;Miller;40;Admin;Illinois;Active;25/09/2021;117591.76;eva.miller@example.com;(535) 669-0550;3;0
EMP1209;David;Jones;35;DevOps;Illinois;Inactive;03/08/2022;103860.7;david.jones@example.com;(76) 209-1842;2;1
EMP1210;Grace;Davis;30;Admin;Illinois;Active;22/11/2024;67500.22;grace.davis@example.com;(579) 786-3049;2;1
EMP1211;Frank;Davis;30;Cloud Tech;Nevada;Pending;09/10/2024;58727.44;frank.davis@example.com;(505) 739-7690;1;1
EMP1212;Charlie;Jones;35;Finance;Illinois;Active;28/08/2024;80623.08;charlie.jones@example.com;(567) 164-9327;4;1
EMP1213;David;Davis;40;HR;Texas;Inactive;19/04/2020;77751.78;david.davis@example.com;(980) 271-4871;4;0
EMP1214;Grace;Williams;25;HR;New York;Active;14/10/2021;115157.81;grace.williams@example.com;(717) 833-3210;3;0
EMP1215;Frank;Jones;30;Admin;Texas;Inactive;26/08/2024;83071.85;frank.jones@example.com;(602) 564-3470;1;0
EMP1216;Heidi;Brown;40;Sales;Texas;Active;08/02/2020;67914.67;heidi.brown@example.com;(287) 153-9914;4;1
